4930509H03Rik
Gm9416
Gdnf
Gm26600
Mir6418
Gm22468
Slc19a2
Syngr3
Msantd2
Gm5891
Gm43522
Gm4605
Gm14065
Gm44871
Phka2
Gm9
Gm5548
Mtf1
Gm33248
Igkv1-122
Gm12723
Morf4l1-ps1
Gm48279
Gm49978
Gm37596
Gm25395
Gm21026
Kif13a
Mir466m
Snora3
Snora5c
Ccdc163
Gm28782
Gm13903
Gm47121
Tomm6
Herc2
Fam180a
Gm4862
Gm48889
Gm8181
Gm38250
Gm45182
G3bp2
Olfr944
Gm10074
Snord21
Dnajb6
Parp2
Uqcc3
Gm7664
Gm48134
Gm42875
Fam214a
Smn1
Smc2os
Gm11474
Strit1
Gm45110
Cbx3-ps6
Mir6385
Plxna2
Olfr63
AC114003.1
Mir126a
Rab9
Bsnd
Gm7499
Usp13
Mir344h-2
Gm45479
Gm14810
Gm17038
Gm43269
Prpf40a
Jakmip2
Gm43720
Npr2
Gm27542
Gm28124
Rpl19-ps10
Zc3h12a
Gm2033
Gm22211
Gm10540
B430119L08Rik
Gm24484
Vmn1r121
Gm7480
Gm11298
Xpr1
Cd83
Gm29555
Gm12914
Gm11986
Gm11936
Adcy1
Echdc3
Zcchc14
Gm44704
Mir130a
Usp18
Gm48398
Gm50098
Rreb1
Gm45625
Acer2
Tbcc
Obsl1
Olfr496-ps1
Gm23771
Gm43666
Slfn8
Gm30984
Gm43789
Vgll3
Gm20542
CAAA01066123.1
Gm6689
Relt
Gm18444
Gm43346
Tgm6
Sh3bp2
Gm5673
Gm26350
Gm40689
Slc13a4
B230209E15Rik
Nbeal2
Gm6640
Itpr3os
Psmb3
Gm7571
Gm2768
Gm21027
Mir6380
Prss58
Zswim7
Igkv13-71-1
Gm25649
Sox10
Gm38159
Rpl21-ps11
Adam29
Ptger4
Agtr1a
Gm28103
C130073F10Rik
Gm45052
Pex7
5430416N02Rik
Gm49495
Gm23162
Gm44861
Klf3
Mir467c
Sprr2h
Wincr1
Gm7307
Gm24636
5031434C07Rik
Gm26886
Adgrf3
Thop1
Gm23802
Rarres2
Gm12051
Xrcc3
Gm22163
Gm43631
AC166172.4
5430433H01Rik
Mir6416
Tas2r145-ps3
Gm48658
Gm23387
4930573C15Rik
Olfr314
Gm15933
Ascc1
Rab33b
Phkg1
Gm17953
Rpl32
Gm19560
Gm49779
Gm37233
Mir7681
Olfr458
9530027J09Rik
Gm44102
A330072L02Rik
Lrrc8b
Gm37701
Gm15164
Gm44154
Klf4
Gm45387
Cnr2
Mrgpre
Speer5-ps1
Gm45789
Gm49007
Mro
Olfr1419
Espn
Olfr362
Gm28372
Gm20940
Ccn4
Gm37250
Wdr54
E130116L18Rik
Gm12223
Mir669a-3
Gm26108
Gm12529
H2al1f
A730062M13Rik
Masp1
Serpina3c
